"","dataset","mode","intervention","epoch","loss","accuracy","precision","recall","val_loss","val_accuracy","val_precision","val_recall","f1","val_f1","logodds","val_logodds","start","end","duration","emissions","emissions_rate","cpu_power","gpu_power","ram_power","cpu_energy","gpu_energy","ram_energy","energy_consumed","utilization_gpu","utilization_memory","memory_total","memory_used","power_draw","temperature_gpu","energy_nvidia","val_logodds_centered","logodds_centered","energy_centered","energy_nvidia_centered","duration_centered","energy_centered_cumulative","duration_centered_cumulative","energy_nvidia_centered_cumulative","energy_nvidia_cumulative","energy_cumulative","duration_cumulative","score"
"1","caltech101","freeze",0,1,4.49140548706055,0.0565544292330741,0,0,3.84023833274841,0.243549719452858,0,0,0,0,-2.814335150816,-1.13331569972002,2023-01-11 14:40:31.528582,2023-01-11 14:41:14,42.4714183807373,0.0004627239425486,0.010894949125563,60,145.618,1.5,0.0007076481938362,0.0017102963164114,1.7444661060969e-05,0.0024353891713086,1.78571428571429,0.761904761904762,24268,23316.9523809524,118.469523809524,37.1904761904762,0.00139765797530028,-2.62146504707678,-4.88210166003638,0.00358425903200022,0.00204862928400976,60.4428209710121,0.00358425903200022,60.4428209710121,0.00204862928400976,0.00139765797530028,0.0024353891713086,42.4714183807373,174.255593111421
"2","caltech101","freeze",0,2,3.89141535758972,0.169009476900101,1,0.002615233650431,3.55590152740479,0.289564490318298,1,0.0031224321573972,0.0052168240869614,0.00622542584494266,-1.59266360089569,-0.897500139214747,2023-01-11 14:41:15.51297,2023-01-11 14:41:18,2.48703002929688,3.95561578828587e-05,0.0159049779925825,60,242.026,1.5,4.14472460746765e-05,0.0001657832792498,9.59779322147369e-07,0.0002081903046466,7,3,24268,23557,49.195,38.5,3.39859561920166e-05,-2.38564948657151,-3.66043011011608,0.00135706016533822,0.000684957264901498,20.4584326195717,0.00494131919733845,80.9012535905838,0.00273358654891126,0.0014316439314923,0.0026435794759552,44.9584484100342,202.260131830731
"3","caltech101","freeze",0,3,3.53606510162354,0.245831966400146,1,0.0124223604798316,3.27589702606201,0.353327840566635,0.945205450057983,0.011339358985424,0.0245398777520957,0.0224098731431208,-1.1209669602882,-0.604443104571269,2023-01-11 14:41:18.645013,2023-01-11 14:41:21,2.35498666763306,3.67291957752407e-05,0.015596349771337,60,236.079,1.5,3.924640417099e-05,0.0001531590343862,9.06118154525757e-07,0.0001933115567117,6.5,3,24268,23557,179.985,41.5,0.000117739520937204,-2.09259245192803,-3.18873346950858,0.00134218141740332,0.000768710829646686,20.3263892579079,0.00628350061474177,101.227642848492,0.00350229737855795,0.0015493834524295,0.0028368910326669,47.3134350776672,228.044155249368
"4","caltech101","freeze",0,4,3.30655288696289,0.279830008745193,0.985294103622436,0.0219025816768407,2.96516013145447,0.376335263252258,0.952380955219269,0.0262941662222147,0.0428525726807521,0.051175436250025,-0.945304975930082,-0.505132539444162,2023-01-11 14:41:22.628888,2023-01-11 14:41:25,2.37111186981201,3.63899155291385e-05,0.0153471947032273,60,231.458,1.5,3.95152409871419e-05,0.0001511032177494,9.07412469387054e-07,0.0001915258712059,10.5,5,24268,23557,151.92,42.5,0.000100060920906067,-1.99328188680092,-3.01307148515046,0.00134039573189752,0.000751032229615549,20.3425144600868,0.0076238963466393,121.570157308578,0.00425332960817349,0.00164944437333557,0.0030284169038728,49.6845469474792,228.158808709153
"5","caltech101","freeze",0,5,3.14409923553467,0.297155946493149,0.9609375,0.0402092188596725,2.88310718536377,0.411996722221375,0.930735945701599,0.0353327840566635,0.0771885788967609,0.0680810612542608,-0.860877963830327,-0.355717128792018,2023-01-11 14:41:25.617527,2023-01-11 14:41:28,2.38247275352478,3.77087008899331e-05,0.0158275475906889,60,240.569,1.5,3.97044936815898e-05,0.0001578514006189,9.1095248858134e-07,0.0001984668467891,7,3,24268,23557,148.385,42,9.82008943143818e-05,-1.84386647614878,-2.92864447305071,0.00134733670748072,0.000749172203023864,20.3538753437996,0.00897123305412002,141.924032652378,0.00500250181119736,0.00174764526764995,0.0032268837506619,52.067019701004,235.743906299351
"6","caltech101","freeze",0,6,2.97012591362,0.339980393648148,0.959302306175232,0.0539391972124576,2.8140389919281,0.394083797931671,0.942604839801788,0.0701725557446479,0.102135564139742,0.130620985336028,-0.663381590966223,-0.43017812430297,2023-01-11 14:41:28.636261,2023-01-11 14:41:31,2.3637387752533,3.69372681564424e-05,0.0156266286880555,60,236.93,1.5,3.93923838933309e-05,0.0001541067071788,9.07583435376485e-07,0.0001944066745075,6.5,3,24268,23557,170.545,43.5,0.000111978841507104,-1.91832747165973,-2.7311481001866,0.00134327653519912,0.000762950150216586,20.3351413655281,0.0103145095893191,162.259174017906,0.00576545196141394,0.00185962410915705,0.0034212904251694,54.4307584762573,211.915836104268
"7","caltech101","freeze",0,7,2.86535692214966,0.344557046890259,0.953586518764496,0.0738803520798683,2.78005862236023,0.404601484537125,0.939508497714996,0.0816762521862983,0.137135920863396,0.150287267799401,-0.643051601321241,-0.38632836135986,2023-01-11 14:41:32.687738,2023-01-11 14:41:35,2.31226205825806,3.68119580743988e-05,0.0159203226740359,60,242.462,1.5,3.85344386100769e-05,0.0001543272366535,8.85472496350606e-07,0.0001937471477599,7,3,24268,23557,150.53,44,9.66846687859959e-05,-1.87447770871662,-2.71081811054162,0.00134261700845152,0.000747655977495478,20.2836646485329,0.0116571265977707,182.542838666439,0.00651310793890942,0.00195630877794305,0.0036150375729293,56.7430205345154,206.818825892373
"8","caltech101","freeze",0,8,2.77101349830627,0.362536787986755,0.949820816516876,0.0866296142339706,2.68487787246704,0.425965487957001,0.912448704242706,0.109613806009293,0.158777706072529,0.195715965035505,-0.564370615474638,-0.298331191220452,2023-01-11 14:41:35.674965,2023-01-11 14:41:38,2.32503509521484,3.67706691163911e-05,0.0158151028309503,60,240.43,1.5,3.87472033500671e-05,0.0001538925495002,8.90084604422251e-07,0.0001935298374546,6.5,3,24268,23557,152.285,44,9.83522137429979e-05,-1.78648053857721,-2.63213712469502,0.00134239969814622,0.00074932352245248,20.2964376854897,0.0129995262959169,202.839276351929,0.0072624314613619,0.00205466099168605,0.0038085674103839,59.0680556297302,207.316676415536
"9","caltech101","freeze",0,9,2.693204164505,0.3808434009552,0.957095682621002,0.0948022231459617,2.65396547317505,0.40476581454277,0.832439661026001,0.102054230868816,0.172516359198787,0.181818180059905,-0.485969958317638,-0.385646252946601,2023-01-11 14:41:38.654219,2023-01-11 14:41:41,2.34578061103821,3.69364429263095e-05,0.0157459068220203,60,239.177,1.5,3.9093005657196e-05,0.0001544148478684,8.94477665424347e-07,0.0001944023311911,6.5,3,24268,23557,167.44,45.5,0.000109104862642288,-1.87379560030336,-2.55373646753802,0.00134327219188272,0.00076007617135177,20.317183201313,0.0143427984877996,223.156459553242,0.00802250763271367,0.00216376585432833,0.004002969741575,61.4138362407684,187.065441361453
"10","caltech101","freeze",0,10,2.60681486129761,0.395227193832397,0.927374303340912,0.108532197773457,2.52577376365662,0.447822511196136,0.921393036842346,0.152177482843399,0.19432250148434,0.261212972012583,-0.425392086696182,-0.209472558734047,2023-01-11 14:41:42.643626,2023-01-11 14:41:48,5.35637354850769,6.64640959931228e-05,0.0124084131532685,60,174.674,1.5,8.91844550768534e-05,0.0002584785963322,2.14798013369242e-06,0.0003498110315427,16,7.6,24268,23557,153.276,45.8,0.000228056531116962,-1.6976219060908,-2.49315859591656,0.00149868089223432,0.000879027839826444,23.3277761387825,0.0158414793800339,246.484235692024,0.00890153547254012,0.0023918223854453,0.0043527807731177,66.7702097892761,187.230671441669
